Date,Open,High,Low,Close
1-January-2019,13940.52,13989.64,13907.46,13960.60,
2-January-2019,13952.50,13970.56,13802.88,13885.80,
3-January-2019,13907.41,13936.63,13711.98,13742.48,
4-January-2019,13769.26,13842.85,13711.79,13822.89,
7-January-2019,13862.95,13894.57,13751.21,13769.26,
8-January-2019,13812.83,13916.42,13788.68,13904.22,
9-January-2019,13937.96,13998.25,13897.83,13970.94,
10-January-2019,13949.03,14051.16,13934.19,14036.63,
11-January-2019,14049.96,14087.99,13975.63,14019.19,
14-January-2019,14058.49,14087.57,14001.48,14072.86,
15-January-2019,14083.40,14159.18,14083.19,14149.39,
16-January-2019,14141.70,14228.56,14127.52,14212.09,
17-January-2019,14240.66,14269.03,14053.60,14083.11,
18-January-2019,14086.11,14091.08,13738.97,13801.60,
21-January-2019,13836.46,13981.39,13811.59,13842.01,
22-January-2019,13883.02,14020.63,13882.96,14004.58,
23-January-2019,14025.08,14112.68,13988.78,14066.60,
24-January-2019,14076.03,14137.75,13952.65,13998.66,
25-January-2019,14046.54,14096.33,13914.73,13948.31,
28-January-2019,13952.69,13963.91,13613.24,13658.19,
29-January-2019,13644.07,13807.53,13524.26,13760.43,
30-January-2019,13786.53,13813.72,13711.12,13763.04,
31-January-2019,13792.12,13913.08,13750.00,13881.35,
1-February-2019,13871.55,14017.59,13855.47,13997.30,
4-February-2019,14023.72,14037.28,13772.20,13816.61,
5-February-2019,13816.28,13894.86,13736.25,13772.36,
6-February-2019,13798.71,13930.01,13665.72,13863.09,
7-February-2019,13903.87,14101.02,13903.87,14067.54,
8-February-2019,14092.86,14097.66,13916.11,13982.94,
11-February-2019,13947.29,13964.62,13686.46,13720.01,
12-February-2019,13709.98,13836.91,13662.49,13760.67,
13-February-2019,13859.87,13870.50,13637.57,13677.41,
14-February-2019,13669.12,13764.78,13633.18,13744.47,
15-February-2019,13737.76,13738.00,13125.80,13432.98,
18-February-2019,13484.60,13530.88,13318.09,13333.54,
19-February-2019,13364.91,13416.71,13300.21,13314.29,
20-February-2019,13341.27,13396.28,13325.43,13378.51,
21-February-2019,13410.96,13529.13,13390.45,13506.76,
22-February-2019,13552.30,13599.79,13506.04,13585.80,
25-February-2019,13611.88,13723.92,13583.49,13685.69,
26-February-2019,13645.42,13719.40,13463.66,13668.49,
27-February-2019,13683.09,13881.49,13633.57,13711.04,
28-February-2019,13748.92,13807.55,13739.54,13760.65,
1-March-2019,13794.35,13902.85,13775.30,13887.16,
5-March-2019,13918.19,14036.07,13862.53,14019.05,
6-March-2019,14053.79,14183.31,14004.34,14130.53,
7-March-2019,14128.17,14207.78,13973.59,13998.29,
8-March-2019,14002.59,14057.08,13962.25,13972.89,
11-March-2019,13994.11,14201.02,13994.11,14187.49,
12-March-2019,14242.89,14439.82,14242.89,14333.13,
13-March-2019,14369.95,14402.66,14070.01,14099.14,
14-March-2019,14114.51,14233.17,14073.80,14213.70,
15-March-2019,14213.86,14299.65,14193.17,14237.72,
18-March-2019,14229.72,14269.18,14162.46,14215.69,
19-March-2019,14236.05,14354.08,14236.05,14269.51,
20-March-2019,14262.53,14323.09,14245.77,14280.44,
22-March-2019,14310.49,14359.51,14168.39,14182.20,
25-March-2019,14163.90,14163.90,14033.60,14113.89,
26-March-2019,14142.31,14216.29,14116.79,14200.01,
27-March-2019,14220.18,14298.39,14077.46,14102.48,
28-March-2019,14140.99,14241.88,14100.80,14212.94,
29-March-2019,14267.04,14434.14,14255.70,14407.89,
1-April-2019,14433.11,14521.92,14430.96,14454.65,
2-April-2019,14509.98,14523.55,14344.02,14379.35,
3-April-2019,14409.72,14450.48,14209.30,14230.12,
4-April-2019,14232.36,14338.44,14230.35,14319.99,
5-April-2019,14362.60,14405.65,14316.19,14331.26,
8-April-2019,14377.90,14401.26,14243.34,14273.40,
9-April-2019,14268.98,14393.60,14233.76,14371.55,
10-April-2019,14360.06,14577.86,14346.99,14445.08,
11-April-2019,14424.47,14469.29,14395.82,14431.10,
12-April-2019,14443.80,14509.72,14426.00,14481.90,
15-April-2019,14504.75,14539.00,14440.68,14505.67,
16-April-2019,14547.72,14587.61,14509.36,14520.93,
18-April-2019,14553.90,14566.32,14402.65,14480.77,
22-April-2019,14490.67,14494.05,14273.17,14308.03,
23-April-2019,14343.27,14471.94,14320.10,14413.10,
24-April-2019,14400.00,14496.93,14383.36,14480.71,
25-April-2019,14500.60,14571.56,14423.69,14441.36,
26-April-2019,14473.68,14593.75,14450.92,14464.70,
30-April-2019,14467.59,14481.42,14250.75,14367.02,
2-May-2019,14383.17,14413.46,14229.40,14251.79,
3-May-2019,14265.30,14290.64,14119.49,14152.57,
